127.0.0.1 - - [06/Jun/2020:14:44:58 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/id.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/gwc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/sg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/sg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/sg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/sg4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/sg6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/sg5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/sg8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/sg7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:13 +0800] "GET /zhanyisong/images/fa-search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:28 +0800] "GET /zhanyisong/admin/login.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:28 +0800] "GET /zhanyisong/css/login.css HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:28 +0800] "GET /zhanyisong/images/yanzhengma.jpg HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:28 +0800] "GET /zhanyisong/images/admin/login.jpg HTTP/1.1" 200 38350
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:56 +0800] "GET /zhanyisong/admin/login.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:56 +0800] "GET /zhanyisong/css/login.css HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:56 +0800] "GET /zhanyisong/images/yanzhengma.jpg HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:56 +0800] "GET /zhanyisong/images/admin/login.jpg HTTP/1.1" 200 38350
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:56 +0800] "GET /zhanyisong/images/logo.jpg HTTP/1.1" 200 19520
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:45:57 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:46:59 +0800] "GET /zhanyisong/RegisterServlet?action=adminRegister HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "POST /zhanyisong/RegisterServlet HTTP/1.1" 200 9027
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "GET /zhanyisong/css/morris.css HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "GET /zhanyisong/css/jquery.toast.css HTTP/1.1" 200 4923
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "GET /zhanyisong/css/animate.css HTTP/1.1" 200 56510
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "GET /zhanyisong/css/bootstrap.min.css HTTP/1.1" 200 121385
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "GET /zhanyisong/css/blue-dark.css HTTP/1.1" 200 2916
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "GET /zhanyisong/css/sidebar-nav.min.css HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "GET /zhanyisong/css/style1.css HTTP/1.1" 200 153561
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:47 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:54 +0800] "GET /zhanyisong/StoreServlet?action=show HTTP/1.1" 200 8451
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:54 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:54 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:54 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:47:54 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:48:39 +0800] "GET /zhanyisong/DealServlet?action=show HTTP/1.1" 200 7467
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:48:39 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:48:40 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:48:40 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:48:40 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:49:32 +0800] "GET /zhanyisong/LogisticServlet?action=show HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:49:32 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:49:33 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:49:33 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:49:33 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:50:06 +0800] "GET /zhanyisong/SpServlet?action=show HTTP/1.1" 200 8856
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:50:06 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:50:06 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:50:06 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:50:06 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:51:05 +0800] "GET /zhanyisong/SpServlet?action=update HTTP/1.1" 200 6475
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:51:05 +0800] "GET /zhanyisong/images/sg1.jpg HTTP/1.1" 200 39553
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:51:05 +0800] "GET /zhanyisong/images/sg3.jpg HTTP/1.1" 200 57552
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:51:05 +0800] "GET /zhanyisong/images/sg6.jpg HTTP/1.1" 200 74736
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:51:05 +0800] "GET /zhanyisong/images/sg4.jpg HTTP/1.1" 200 67551
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:51:05 +0800] "GET /zhanyisong/images/sg7.jpg HTTP/1.1" 200 19399
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:51:05 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:56:50 +0800] "GET /zhanyisong/SpServlet?action=update&id=3 HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:56:50 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:58:08 +0800] "GET /zhanyisong/SpServlet?action=dodelete&id=3 HTTP/1.1" 200 5714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:58:08 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:58:18 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:58:18 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:58:18 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:58:22 +0800] "GET /zhanyisong/SpServlet?action=add HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:58:22 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:58:54 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:58:54 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:58:54 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:58:57 +0800] "GET /zhanyisong/SpServlet?action=delete HTTP/1.1" 200 5714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:58:57 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:35 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:35 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:35 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:39 +0800] "GET /zhanyisong/UserServlet?action=show HTTP/1.1" 200 7077
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:39 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:39 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:39 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:39 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:50 +0800] "GET /zhanyisong/CustomerServlet?action=delete&id=2 HTTP/1.1" 200 6444
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:50 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:50 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:50 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Jun/2020:14:59:50 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:00:26 +0800] "GET /zhanyisong/KhServlet?action=show HTTP/1.1" 200 11960
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:00:26 +0800] "GET /zhanyisong/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:00:26 +0800] "GET /zhanyisong/images/admin/comment.jpg HTTP/1.1" 200 20005
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:00:27 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:00:27 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:00:27 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:01:28 +0800] "GET /zhanyisong/CommentServlet?action=delete&id=2 HTTP/1.1" 500 1116
0:0:0:0:0:0:0:1 - - [06/Jun/2020:15:01:32 +0800] "GET /zhanyisong/less/icons/font-awesome/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 404 765
